Local time,Open,High,Low,Close,Volume
05.10.2019 00:30:00.000 GMT+0330,1504.298,1504.298,1504.298,1504.298,0
06.10.2019 00:30:00.000 GMT+0330,1504.298,1504.298,1504.298,1504.298,0
07.10.2019 00:30:00.000 GMT+0330,1511.868,1512.215,1487.958,1492.988,59422713.1008
08.10.2019 00:30:00.000 GMT+0330,1492.998,1509.618,1486.845,1505.048,94336690.992
09.10.2019 00:30:00.000 GMT+0330,1505.598,1512.438,1499.768,1505.198,64309053.5702
10.10.2019 00:30:00.000 GMT+0330,1505.248,1516.948,1491.015,1493.598,83255330.92049998
11.10.2019 00:30:00.000 GMT+0330,1493.728,1503.115,1473.925,1488.598,73463920.5933
12.10.2019 00:30:00.000 GMT+0330,1488.598,1488.598,1488.598,1488.598,0
13.10.2019 00:30:00.000 GMT+0330,1488.598,1488.598,1488.598,1488.598,0
14.10.2019 00:30:00.000 GMT+0330,1488.128,1497.068,1482.728,1492.798,56196414.79840001
15.10.2019 00:30:00.000 GMT+0330,1493.008,1498.388,1477.098,1480.598,60053284.823999986
16.10.2019 00:30:00.000 GMT+0330,1480.858,1491.478,1476.995,1489.678,82979230.52309999
